,model_word,surprisal,model
0,The,0.0,gpt2_supr
1, cleaner,18.0574893951416,gpt2_supr
2, obviously,13.950350761413574,gpt2_supr
3, knew,5.0480637550354,gpt2_supr
4, which,7.996410846710205,gpt2_supr
5, letter,11.725040435791016,gpt2_supr
6, the,4.900763034820557,gpt2_supr
7, resident,13.908513069152832,gpt2_supr
8, identified,10.807127952575684,gpt2_supr
9, something,15.542536735534668,gpt2_supr
10, in,4.711994647979736,gpt2_supr
11, the,2.372136354446411,gpt2_supr
12, morning,9.97230339050293,gpt2_supr
13,.,12.02443027496338,gpt2_supr
14,<|endoftext|>,15.393892288208008,gpt2_supr
15,The,0.0,gpt2_supr
16, victim,11.845145225524902,gpt2_supr
17, clearly,13.884114265441896,gpt2_supr
18, knew,4.918805122375488,gpt2_supr
19, which,8.957554817199707,gpt2_supr
20, gun,7.076053142547607,gpt2_supr
21, the,5.298131465911865,gpt2_supr
22, murderer,7.285098552703857,gpt2_supr
23, held,8.033102035522461,gpt2_supr
24, something,17.948745727539062,gpt2_supr
25, in,2.652226686477661,gpt2_supr
26, the,4.260010719299316,gpt2_supr
27, evening,11.189940452575684,gpt2_supr
28,.,13.510251998901367,gpt2_supr
29,<|endoftext|>,13.441330909729004,gpt2_supr
30,The,0.0,gpt2_supr
31, professor,13.283145904541016,gpt2_supr
32, totally,16.5474853515625,gpt2_supr
33, knew,6.66673469543457,gpt2_supr
34, which,7.8286213874816895,gpt2_supr
35, equipment,12.49484920501709,gpt2_supr
36, the,5.729856014251709,gpt2_supr
37, scientist,10.896828651428224,gpt2_supr
38, installed,9.618640899658203,gpt2_supr
39, something,16.879486083984375,gpt2_supr
40, during,11.348504066467283,gpt2_supr
41, the,1.277521014213562,gpt2_supr
42, weekend,11.931638717651367,gpt2_supr
43,.,10.891408920288086,gpt2_supr
44,<|endoftext|>,14.916547775268556,gpt2_supr
45,The,0.0,gpt2_supr
46, policeman,16.035429000854492,gpt2_supr
47, stupidly,19.21550178527832,gpt2_supr
48, knew,11.7320556640625,gpt2_supr
49, which,7.668206214904785,gpt2_supr
50, meat,14.237168312072754,gpt2_supr
51, the,9.14831256866455,gpt2_supr
52, butcher,9.289643287658691,gpt2_supr
53, recognized,17.581254959106445,gpt2_supr
54, something,15.62899112701416,gpt2_supr
55, in,6.179458141326904,gpt2_supr
56, the,3.363828182220459,gpt2_supr
57, shop,8.104304313659668,gpt2_supr
58, in,7.954666137695312,gpt2_supr
59, the,2.365412950515747,gpt2_supr
60, morning,3.693380117416382,gpt2_supr
61,.,11.260537147521973,gpt2_supr
62,<|endoftext|>,13.639851570129396,gpt2_supr
63,The,0.0,gpt2_supr
64, coach,13.216989517211914,gpt2_supr
65, regrettably,21.84473991394043,gpt2_supr
66, knew,9.119287490844728,gpt2_supr
67, which,8.872431755065918,gpt2_supr
68, ball,8.07945442199707,gpt2_supr
69, the,5.787727355957031,gpt2_supr
70, pupil,13.373252868652344,gpt2_supr
71, caught,8.899738311767578,gpt2_supr
72, something,15.242609977722168,gpt2_supr
73, during,8.221226692199707,gpt2_supr
74, the,1.4141632318496704,gpt2_supr
75, weekend,10.7244291305542,gpt2_supr
76,.,11.693400382995604,gpt2_supr
77,<|endoftext|>,12.794705390930176,gpt2_supr
78,The,0.0,gpt2_supr
79, associate,17.001256942749023,gpt2_supr
80, totally,19.644121170043945,gpt2_supr
81, knew,8.038739204406738,gpt2_supr
82, which,7.795199394226074,gpt2_supr
83, document,14.447449684143066,gpt2_supr
84, the,6.366580963134766,gpt2_supr
85, accountant,12.953006744384766,gpt2_supr
86, unveiled,17.406496047973633,gpt2_supr
87, something,15.206258773803713,gpt2_supr
88, in,6.09313440322876,gpt2_supr
89, the,3.0333364009857178,gpt2_supr
90, afternoon,8.03011703491211,gpt2_supr
91,.,10.682533264160156,gpt2_supr
92,<|endoftext|>,14.110523223876951,gpt2_supr
93,The,0.0,gpt2_supr
94, author,10.091313362121582,gpt2_supr
95, obviously,12.821762084960938,gpt2_supr
96, knew,5.8588337898254395,gpt2_supr
97, which,8.450801849365234,gpt2_supr
