sentence_id	token	pos_tag	probability
1	how	SCONJ	0.7510406293626951
1	that	SCONJ	0.12206140174644198
1	and	CCONJ	0.03276043118428301
1	where	SCONJ	0.027160516570066063
1	when	SCONJ	0.022831848804748877
1	if	SCONJ	0.020045328609335736
1	before	SCONJ	0.011178184666913914
1	why	SCONJ	0.004734558651982986
1	because	SCONJ	0.0031353069676889433
1	as	SCONJ	0.0022014876360950454
1	once	SCONJ	0.0014409317823340087
1	until	SCONJ	0.0014093740174143663
2	that	SCONJ	0.6374529435448986
2	where	SCONJ	0.2856763522104796
2	why	SCONJ	0.034072256650867536
2	how	SCONJ	0.016244170826367296
2	when	SCONJ	0.014355553935316184
2	if	SCONJ	0.005861244778697665
2	as	SCONJ	0.0016220430303319495
2	because	SCONJ	0.0012305150156765028
2	who	PRON	0.0009184312637235746
2	while	SCONJ	0.0007314611544613431
2	and	CCONJ	0.0006525904906404922
2	whether	SCONJ	0.0006242670164790963
2	what	PRON	0.0003146174390106137
2	which	PRON	0.00024355264304964558
3	where	SCONJ	0.41091005430351807
3	how	SCONJ	0.2981644276930392
3	that	SCONJ	0.11135280546388059
3	when	SCONJ	0.09347543472048228
3	why	SCONJ	0.06780071330845093
3	about	ADP	0.005696721933964283
3	before	SCONJ	0.0032816075787431877
3	who	PRON	0.0031268644008416537
3	if	SCONJ	0.0021989144124220476
3	because	SCONJ	0.0013894431336382007
3	and	CCONJ	0.0012219651563080039
3	what	PRON	0.0007153721058792235
3	as	SCONJ	0.0006656757888323537
4	that	SCONJ	0.9121567737497412
4	if	SCONJ	0.024401059607690116
4	how	SCONJ	0.023651219334765897
4	when	SCONJ	0.011715485979344928
4	why	SCONJ	0.01054756803312021
4	and	CCONJ	0.006786843139659943
4	because	SCONJ	0.005208371879586517
4	where	SCONJ	0.002066842409452681
4	before	SCONJ	0.001758556738344333
4	but	CCONJ	0.0017072791282941608
5	that	SCONJ	0.49486810006330134
5	when	SCONJ	0.2144129117605369
5	how	SCONJ	0.11437742587378495
5	where	SCONJ	0.06260955926302382
5	if	SCONJ	0.037869594528570284
5	before	SCONJ	0.03760920150956939
5	why	SCONJ	0.008426133791998986
5	whether	SCONJ	0.007119962560779145
5	once	SCONJ	0.005507211485756403
5	after	SCONJ	0.005039436193560209
5	and	CCONJ	0.004627598600118837
5	because	SCONJ	0.004047868444534118
5	as	SCONJ	0.003484995924465594
6	when	SCONJ	0.5846611903051749
6	how	SCONJ	0.17941214881245532
6	that	SCONJ	0.08090356420388328
6	before	SCONJ	0.04563181077571057
6	why	SCONJ	0.038940199922623216
6	until	SCONJ	0.017280755109422157
6	where	SCONJ	0.011194821980822995
6	after	SCONJ	0.010263202598015428
6	and	CCONJ	0.007364098462973898
6	as	SCONJ	0.007268440829172198
6	if	SCONJ	0.005802864388514388
6	because	SCONJ	0.005779166042407191
6	once	SCONJ	0.005497736568824401
7	and	CCONJ	0.5516223877215285
7	that	SCONJ	0.17015092264978823
7	because	SCONJ	0.12277609568707708
7	why	SCONJ	0.044327466088353445
7	but	CCONJ	0.028507296904582195
7	when	SCONJ	0.024870412482421018
7	how	SCONJ	0.021174925120286847
7	as	SCONJ	0.018748435179367452
7	so	ADV	0.01782205816659524
8	that	SCONJ	0.9228249844302188
8	how	SCONJ	0.019562695654075927
8	why	SCONJ	0.01955857447173537
8	if	SCONJ	0.014944475621528615
8	when	SCONJ	0.007467663875909364
8	where	SCONJ	0.005236557239301734
8	because	SCONJ	0.00277137781058612
8	as	SCONJ	0.002699587659901743
8	about	ADP	0.002642485667098788
8	and	CCONJ	0.002291597569643582
