,model_word,surprisal,model
0,The,0.0,gpt2_supr
1, cleaner,18.0574893951416,gpt2_supr
2, obviously,13.950350761413574,gpt2_supr
3, knew,5.0480637550354,gpt2_supr
4, that,3.2662878036499023,gpt2_supr
5, the,2.927645683288574,gpt2_supr
6, resident,12.500054359436035,gpt2_supr
7, identified,13.832551956176758,gpt2_supr
8, the,4.28641414642334,gpt2_supr
9, letters,13.184447288513184,gpt2_supr
10, in,4.654428482055664,gpt2_supr
11, the,1.2201741933822632,gpt2_supr
12, hall,11.049202919006348,gpt2_supr
13, in,6.251781940460205,gpt2_supr
14, the,2.5364434719085693,gpt2_supr
15, morning,6.907942771911621,gpt2_supr
16,.,12.526148796081545,gpt2_supr
17,<|endoftext|>,14.668872833251951,gpt2_supr
18,The,0.0,gpt2_supr
19, victim,11.845145225524902,gpt2_supr
20, clearly,13.884114265441896,gpt2_supr
21, knew,4.918805122375488,gpt2_supr
22, that,3.232938051223755,gpt2_supr
23, the,3.037311315536499,gpt2_supr
24, murderer,8.575479507446289,gpt2_supr
25, held,10.598697662353516,gpt2_supr
26, the,2.904618501663208,gpt2_supr
27, gun,1.7135368585586548,gpt2_supr
28, in,3.795440435409546,gpt2_supr
29, the,3.5016982555389404,gpt2_supr
30, hall,12.545377731323242,gpt2_supr
31, in,6.7259626388549805,gpt2_supr
32, the,1.9347918033599856,gpt2_supr
33, evening,10.444953918457031,gpt2_supr
34,.,13.001245498657228,gpt2_supr
35,<|endoftext|>,12.847227096557615,gpt2_supr
36,The,0.0,gpt2_supr
37, professor,13.283145904541016,gpt2_supr
38, totally,16.5474853515625,gpt2_supr
39, knew,6.66673469543457,gpt2_supr
40, that,4.983978748321533,gpt2_supr
41, the,3.5162036418914795,gpt2_supr
42, scientist,12.146632194519045,gpt2_supr
43, installed,15.727364540100098,gpt2_supr
44, the,1.845036506652832,gpt2_supr
45, equipment,7.57559061050415,gpt2_supr
46, in,2.870903730392456,gpt2_supr
47, the,1.3963285684585571,gpt2_supr
48, building,6.4732818603515625,gpt2_supr
49, during,7.721487998962402,gpt2_supr
50, the,1.3701764345169067,gpt2_supr
51, weekend,8.446727752685547,gpt2_supr
52,.,11.2186918258667,gpt2_supr
53,<|endoftext|>,14.774151802062988,gpt2_supr
54,The,0.0,gpt2_supr
55, policeman,16.035429000854492,gpt2_supr
56, stupidly,19.21550178527832,gpt2_supr
57, knew,11.7320556640625,gpt2_supr
58, that,2.1803252696990967,gpt2_supr
59, the,3.0042028427124023,gpt2_supr
60, butcher,15.647738456726074,gpt2_supr
61, recognized,15.22930908203125,gpt2_supr
62, the,3.235435962677002,gpt2_supr
63, meat,9.004084587097168,gpt2_supr
64, in,4.720637321472168,gpt2_supr
65, the,1.0965174436569214,gpt2_supr
66, shop,5.439265251159668,gpt2_supr
67, in,7.422870635986328,gpt2_supr
68, the,2.155728340148926,gpt2_supr
69, morning,4.3086256980896,gpt2_supr
70,.,11.85398006439209,gpt2_supr
71,<|endoftext|>,12.786293983459473,gpt2_supr
72,The,0.0,gpt2_supr
73, coach,13.216989517211914,gpt2_supr
74, regrettably,21.84473991394043,gpt2_supr
75, knew,9.119287490844728,gpt2_supr
76, that,2.3238940238952637,gpt2_supr
77, the,3.212360143661499,gpt2_supr
78, pupil,12.289905548095703,gpt2_supr
79, caught,12.342751502990724,gpt2_supr
80, the,2.661504030227661,gpt2_supr
81, ball,1.8704994916915896,gpt2_supr
82, in,3.595285177230835,gpt2_supr
83, the,1.6492294073104858,gpt2_supr
84, gym,10.9739990234375,gpt2_supr
85, during,6.606631278991699,gpt2_supr
86, the,2.04555082321167,gpt2_supr
87, weekend,8.845710754394531,gpt2_supr
88,.,12.41137409210205,gpt2_supr
89,<|endoftext|>,12.84948444366455,gpt2_supr
90,The,0.0,gpt2_supr
91, associate,17.001256942749023,gpt2_supr
92, totally,19.644121170043945,gpt2_supr
93, knew,8.038739204406738,gpt2_supr
94, that,4.935763835906982,gpt2_supr
95, the,3.604115486145019,gpt2_supr
96, accountant,14.544257164001465,gpt2_supr
97, unveiled,19.46603202819824,gpt2_supr
